topic,topic_vi,text_en,text_vi,level,image
Math,Toán học,count,đếm,1,
Math,Toán học,number,số,1,
Math,Toán học,add,cộng,1,
Math,Toán học,subtract,trừ,1,
Math,Toán học,plus,cộng,1,
Math,Toán học,minus,trừ,1,
Math,Toán học,equals,bằng,1,
Math,Toán học,total,tổng,2,
Math,Toán học,solve,giải,2,
Math,Toán học,problem,bài toán,2,
Math,Toán học,answer,đáp án,2,
Math,Toán học,question,câu hỏi,2,
Math,Toán học,whole,toàn bộ,2,
Math,Toán học,half,một nửa,2,
Math,Toán học,pair,cặp đôi,1,
Math,Toán học,even,số chẵn,2,
Math,Toán học,odd,số lẻ,2,
Math,Toán học,big,to,1,
Math,Toán học,small,nhỏ,1,
Math,Toán học,long,dài,1,
Math,Toán học,short,ngắn,1,
Math,Toán học,tall,cao,1,
Math,Toán học,wide,rộng,1,
Math,Toán học,narrow,hẹp,2,
Math,Toán học,heavy,nặng,1,
Math,Toán học,light,nhẹ,1,
Math,Toán học,full,đầy,1,
Math,Toán học,empty,rỗng,1,
Math,Toán học,more,nhiều hơn,1,
Math,Toán học,less,ít hơn,1,
Math,Toán học,many,nhiều,1,
Math,Toán học,few,ít,2,
Math,Toán học,same,giống nhau,1,
Math,Toán học,different,khác nhau,1,
Math,Toán học,middle,ở giữa,1,
Math,Toán học,between,ở giữa hai,1,
Math,Toán học,above,phía trên,1,
Math,Toán học,below,phía dưới,1,
Math,Toán học,left,trái,1,
Math,Toán học,right,phải,1,
Math,Toán học,clock,đồng hồ,1,
Math,Toán học,time,thời gian,1,
Math,Toán học,hour,tiếng/giờ,2,
Math,Toán học,minute,phút,2,
Math,Toán học,coin,đồng xu,1,
Math,Toán học,dollar,đô la,2,
Math,Toán học,cent,xu,2,
Math,Toán học,group,nhóm,1,
Math,Toán học,row,hàng,1,
Math,Toán học,column,cột,2,
Math,Toán học,order,thứ tự,1,
Math,Toán học,next,kế tiếp,1,
Math,Toán học,most,nhiều nhất,2,
Math,Toán học,least,ít nhất,2,
